Season,Player,Conference,Date,Team,Pos,Height,Weight,Age,Draft Yr,YOS
2006-2007,Dirk Nowitzki,West,"Nov 19, 2006",Dallas Mavericks,PF,7-0,245,28,1998,8
2006-2007,Joe Johnson,East,"Nov 12, 2006",Atlanta Hawks,SG,6-7,240,25,2001,5
2006-2007,Yao Ming,West,"Nov 12, 2006",Houston Rockets,C,7-6,310,26,2002,4
2006-2007,Allen Iverson,East,"Nov 6, 2006",Philadelphia Sixers,G,6-0,165,31,1996,10
2006-2007,Carlos Boozer,West,"Nov 6, 2006",Utah Jazz,PF,6-9,266,25,2002,4
2005-2006,Ben Gordon,East,"Apr 16, 2006",Chicago Bulls,SG,6-3,200,22,2004,1
2005-2006,Kobe Bryant,West,"Apr 16, 2006",Los Angeles Lakers,SG,6-6,212,27,1996,9
2005-2006,Jamal Crawford,East,"Apr 9, 2006",New York Knicks,SG,6-5,195,25,2000,5
2005-2006,Chris Wilcox,West,"Apr 9, 2006",Seattle SuperSonics,FC,6-10,235,23,2002,3
2005-2006,LeBron James,East,"Apr 2, 2006",Cleveland Cavaliers,F,6-9,250,21,2003,2
2005-2006,Yao Ming,West,"Apr 2, 2006",Houston Rockets,C,7-6,310,25,2002,3
2005-2006,LeBron James,East,"Mar 26, 2006",Cleveland Cavaliers,F,6-9,250,21,2003,2
2005-2006,Pau Gasol,West,"Mar 26, 2006",Memphis Grizzlies,FC,7-0,250,25,2001,4
2005-2006,LeBron James,East,"Mar 19, 2006",Cleveland Cavaliers,F,6-9,250,21,2003,2
2005-2006,Carmelo Anthony,West,"Mar 19, 2006",Denver Nuggets,F,6-8,240,21,2003,2
2005-2006,Paul Pierce,East,"Mar 12, 2006",Boston Celtics,SF,6-7,235,28,1998,7
2005-2006,Mike Bibby,West,"Mar 12, 2006",Sacramento Kings,G,6-2,195,27,1998,7
2005-2006,Allen Iverson,East,"Mar 5, 2006",Philadelphia Sixers,G,6-0,165,30,1996,9
2005-2006,Pau Gasol,West,"Mar 5, 2006",Memphis Grizzlies,FC,7-0,250,25,2001,4
2005-2006,Gilbert Arenas,East,"Feb 27, 2006",Washington Wizards,G,6-3,191,24,2001,4
2005-2006,Yao Ming,West,"Feb 27, 2006",Houston Rockets,C,7-6,310,25,2002,3
2005-2006,Gilbert Arenas,East,"Feb 13, 2006",Washington Wizards,G,6-3,191,24,2001,4
2005-2006,Tony Parker,West,"Feb 13, 2006",San Antonio Spurs,G,6-2,185,23,2001,4
2005-2006,Chris Bosh,East,"Feb 6, 2006",Toronto Raptors,PF,6-11,235,21,2003,2
2005-2006,Chris Paul,West,"Feb 6, 2006",New Orleans Hornets,PG,6-0,175,20,2005,0
2005-2006,LeBron James,East,"Jan 30, 2006",Cleveland Cavaliers,F,6-9,250,21,2003,2
2005-2006,Elton Brand,West,"Jan 30, 2006",Los Angeles Clippers,PF,6-9,254,26,1999,6
2005-2006,Richard Hamilton,East,"Jan 22, 2006",Detroit Pistons,SG,6-7,193,28,1999,6
2005-2006,Kobe Bryant,West,"Jan 22, 2006",Los Angeles Lakers,SG,6-6,212,27,1996,9
2005-2006,Allen Iverson,East,"Jan 15, 2006",Philadelphia Sixers,G,6-0,165,30,1996,9
2005-2006,Kevin Garnett,West,"Jan 15, 2006",Minnesota Timberwolves,PF,6-11,240,29,1995,10
2005-2006,Mike James,East,"Jan 8, 2006",Toronto Raptors,G,6-2,188,30,1998,4
2005-2006,Steve Nash,West,"Jan 8, 2006",Phoenix Suns,G,6-3,178,32,1996,9
2005-2006,Dwyane Wade,East,"Jan 1, 2006",Miami Heat,SG,6-4,220,24,2003,2
2005-2006,Shawn Marion,West,"Jan 1, 2006",Phoenix Suns,F,6-7,228,27,1999,6
2005-2006,Vince Carter,East,"Dec 26, 2005",New Jersey Nets,SF,6-6,220,29,1998,7
2005-2006,Kobe Bryant,West,"Dec 26, 2005",Los Angeles Lakers,SG,6-6,212,27,1996,9
2005-2006,Joe Johnson,East,"Dec 19, 2005",Atlanta Hawks,SG,6-7,240,24,2001,4
2005-2006,Kobe Bryant,West,"Dec 19, 2005",Los Angeles Lakers,SG,6-6,212,27,1996,9
2005-2006,Allen Iverson,East,"Dec 12, 2005",Philadelphia Sixers,G,6-0,165,30,1996,9
2005-2006,Elton Brand,West,"Dec 12, 2005",Los Angeles Clippers,PF,6-9,254,26,1999,6
2005-2006,Dwyane Wade,East,"Dec 5, 2005",Miami Heat,SG,6-4,220,24,2003,2
2005-2006,Baron Davis,West,"Dec 5, 2005",Golden State Warriors,G,6-3,215,26,1999,6
2005-2006,Gerald Wallace,East,"Nov 28, 2005",Charlotte Bobcats,F,6-7,220,23,2001,4
2005-2006,Steve Nash,West,"Nov 28, 2005",Phoenix Suns,G,6-3,178,32,1996,9
2005-2006,LeBron James,East,"Nov 21, 2005",Cleveland Cavaliers,F,6-9,250,21,2003,2
2005-2006,Elton Brand,West,"Nov 21, 2005",Los Angeles Clippers,PF,6-9,254,26,1999,6
2005-2006,Gilbert Arenas,East,"Nov 14, 2005",Washington Wizards,G,6-3,191,24,2001,4
2005-2006,Marcus Camby,West,"Nov 14, 2005",Denver Nuggets,C,6-11,240,31,1996,9
2005-2006,T.J. Ford,East,"Nov 7, 2005",Milwaukee Bucks,PG,6-0,165,22,2003,2
2005-2006,Kobe Bryant,West,"Nov 7, 2005",Los Angeles Lakers,SG,6-6,212,27,1996,9
2004-2005,Jason Kidd,East,"Apr 17, 2005",New Jersey Nets,PG,6-4,210,31,1994,10
2004-2005,Tracy McGrady,West,"Apr 17, 2005",Houston Rockets,GF,6-8,210,25,1997,7
2004-2005,Vince Carter,East,"Apr 10, 2005",New Jersey Nets,SF,6-6,220,28,1998,6
2004-2005,Baron Davis,West,"Apr 10, 2005",Golden State Warriors,G,6-3,215,25,1999,5
2004-2005,Reggie Miller,East,"Apr 3, 2005",Indiana Pacers,SG,6-7,185,39,1987,17
2004-2005,Baron Davis,West,"Apr 3, 2005",Golden State Warriors,G,6-3,215,25,1999,5
2004-2005,Allen Iverson,East,"Mar 27, 2005",Philadelphia Sixers,G,6-0,165,29,1996,8
2004-2005,Ray Allen,West,"Mar 27, 2005",Seattle SuperSonics,SG,6-5,205,29,1996,8
2004-2005,Chauncey Billups,East,"Mar 20, 2005",Detroit Pistons,G,6-3,210,28,1997,7
2004-2005,Jason Richardson,West,"Mar 20, 2005",Golden State Warriors,GF,6-6,225,24,2001,3
2004-2005,Paul Pierce,East,"Mar 13, 2005",Boston Celtics,SF,6-7,235,27,1998,6
2004-2005,Tracy McGrady,West,"Mar 13, 2005",Houston Rockets,GF,6-8,210,25,1997,7
2004-2005,Allen Iverson,East,"Mar 6, 2005",Philadelphia Sixers,G,6-0,165,29,1996,8
2004-2005,Marcus Camby,West,"Mar 6, 2005",Denver Nuggets,C,6-11,240,30,1996,8
2004-2005,Jalen Rose,East,"Feb 27, 2005",Toronto Raptors,G,6-8,210,32,1994,10
2004-2005,Mike Bibby,West,"Feb 27, 2005",Sacramento Kings,G,6-2,195,26,1998,6
2004-2005,Allen Iverson,East,"Feb 13, 2005",Philadelphia Sixers,G,6-0,165,29,1996,8
2004-2005,Steve Nash,West,"Feb 13, 2005",Phoenix Suns,G,6-3,178,31,1996,8
2004-2005,Paul Pierce,East,"Feb 6, 2005",Boston Celtics,SF,6-7,235,27,1998,6
2004-2005,Tracy McGrady,West,"Feb 6, 2005",Houston Rockets,GF,6-8,210,25,1997,7
2004-2005,Vince Carter,East,"Jan 30, 2005",New Jersey Nets,SF,6-6,220,28,1998,6
2004-2005,Brad Miller,West,"Jan 30, 2005",Sacramento Kings,C,7-0,261,28,1998,6
2004-2005,LeBron James,East,"Jan 23, 2005",Cleveland Cavaliers,F,6-9,250,20,2003,1
2004-2005,Jason Terry,West,"Jan 23, 2005",Dallas Mavericks,G,6-2,185,27,1999,5
2004-2005,Larry Hughes,East,"Jan 16, 2005",Washington Wizards,G,6-5,184,26,1998,6
2004-2005,Tracy McGrady,West,"Jan 16, 2005",Houston Rockets,GF,6-8,210,25,1997,7
2004-2005,Chris Bosh,East,"Jan 9, 2005",Toronto Raptors,PF,6-11,235,20,2003,1
2004-2005,Bruce Bowen,West,"Jan 9, 2005",San Antonio Spurs,F,6-7,200,33,1993,9
2004-2005,Stephon Marbury,East,"Jan 2, 2005",New York Knicks,G,6-2,180,28,1996,8
2004-2005,Pau Gasol,West,"Jan 2, 2005",Memphis Grizzlies,FC,7-0,250,24,2001,3
2004-2005,Allen Iverson,East,"Dec 26, 2004",Philadelphia Sixers,G,6-0,165,29,1996,8
2004-2005,Steve Nash,West,"Dec 26, 2004",Phoenix Suns,G,6-3,178,31,1996,8
2004-2005,Shaquille O'Neal,East,"Dec 19, 2004",Miami Heat,C,7-1,325,32,1992,12
2004-2005,Shawn Marion,West,"Dec 19, 2004",Phoenix Suns,F,6-7,228,26,1999,5
2004-2005,Richard Jefferson,East,"Dec 12, 2004",New Jersey Nets,SF,6-7,233,24,2001,3
2004-2005,Amar'e Stoudemire,West,"Dec 12, 2004",Phoenix Suns,FC,6-10,245,22,2002,2
2004-2005,Gilbert Arenas,East,"Dec 5, 2004",Washington Wizards,G,6-3,191,23,2001,3
2004-2005,Dirk Nowitzki,West,"Dec 5, 2004",Dallas Mavericks,PF,7-0,245,26,1998,6
2004-2005,LeBron James,East,"Nov 28, 2004",Cleveland Cavaliers,F,6-9,250,20,2003,1
2004-2005,Shawn Marion,West,"Nov 28, 2004",Phoenix Suns,F,6-7,228,26,1999,5
2004-2005,Grant Hill,East,"Nov 21, 2004",Orlando Magic,SF,6-8,225,32,1994,10
2004-2005,Amar'e Stoudemire,West,"Nov 21, 2004",Phoenix Suns,FC,6-10,245,22,2002,2
2004-2005,LeBron James,East,"Nov 14, 2004",Cleveland Cavaliers,F,6-9,250,20,2003,1
2004-2005,Ray Allen,West,"Nov 14, 2004",Seattle SuperSonics,SG,6-5,205,29,1996,8
2004-2005,Dwyane Wade,East,"Nov 7, 2004",Miami Heat,SG,6-4,220,23,2003,1
2004-2005,Kevin Garnett,West,"Nov 7, 2004",Minnesota Timberwolves,PF,6-11,240,28,1995,9
2003-2004,Jamaal Magloire,East,"Apr 12, 2004",New Orleans Hornets,C,6-11,259,25,2000,3
2003-2004,Carmelo Anthony,West,"Apr 12, 2004",Denver Nuggets,F,6-8,240,19,2003,0
2003-2004,Richard Jefferson,East,"Apr 5, 2004",New Jersey Nets,SF,6-7,233,23,2001,2
2003-2004,Dirk Nowitzki,West,"Apr 5, 2004",Dallas Mavericks,PF,7-0,245,25,1998,5
2003-2004,Metta World Peace,East,"Mar 29, 2004",Indiana Pacers,SF,6-7,260,24,1999,4
2003-2004,Kobe Bryant,West,"Mar 29, 2004",Los Angeles Lakers,SG,6-6,212,25,1996,7
2003-2004,Vince Carter,East,"Mar 21, 2004",Toronto Raptors,SF,6-6,220,27,1998,5
2003-2004,Shaquille O'Neal,West,"Mar 21, 2004",Los Angeles Lakers,C,7-1,325,31,1992,11
2003-2004,Zydrunas Ilgauskas,East,"Mar 14, 2004",Cleveland Cavaliers,C,7-3,260,28,1996,7
2003-2004,Carmelo Anthony,West,"Mar 14, 2004",Denver Nuggets,F,6-8,240,19,2003,0
2003-2004,Lamar Odom,East,"Mar 7, 2004",Miami Heat,PF,6-10,230,24,1999,4
2003-2004,Yao Ming,West,"Mar 7, 2004",Houston Rockets,C,7-6,310,23,2002,1
2003-2004,Ben Wallace,East,"Feb 29, 2004",Detroit Pistons,FC,6-9,240,29,1996,7
2003-2004,Andrei Kirilenko,West,"Feb 29, 2004",Utah Jazz,PF,6-9,235,23,1999,2
2003-2004,Dwyane Wade,East,"Feb 22, 2004",Miami Heat,SG,6-4,220,22,2003,0
2003-2004,Kobe Bryant,West,"Feb 22, 2004",Los Angeles Lakers,SG,6-6,212,25,1996,7
2003-2004,Kenyon Martin,East,"Feb 8, 2004",New Jersey Nets,F,6-9,240,26,2000,3
2003-2004,Tim Duncan,West,"Feb 8, 2004",San Antonio Spurs,FC,6-11,250,27,1997,6
2003-2004,Jason Kidd,East,"Feb 1, 2004",New Jersey Nets,PG,6-4,210,30,1994,9
2003-2004,Kevin Garnett,West,"Feb 1, 2004",Minnesota Timberwolves,PF,6-11,240,27,1995,8
2003-2004,Carlos Boozer,East,"Jan 25, 2004",Cleveland Cavaliers,PF,6-9,266,22,2002,1
2003-2004,Kevin Garnett,West,"Jan 25, 2004",Minnesota Timberwolves,PF,6-11,240,27,1995,8
2003-2004,Stephon Marbury,East,"Jan 18, 2004",New York Knicks,G,6-2,180,27,1996,7
2003-2004,Michael Finley,West,"Jan 18, 2004",Dallas Mavericks,G-F,6-7,225,30,1995,8
2003-2004,Paul Pierce,East,"Jan 11, 2004",Boston Celtics,SF,6-7,235,26,1998,5
2003-2004,Ray Allen,West,"Jan 11, 2004",Seattle SuperSonics,SG,6-5,205,28,1996,7
2003-2004,Ben Wallace,East,"Jan 4, 2004",Detroit Pistons,FC,6-9,240,29,1996,7
2003-2004,Elton Brand,West,"Jan 4, 2004",Los Angeles Clippers,PF,6-9,254,24,1999,4
2003-2004,Jason Kidd,East,"Dec 28, 2003",New Jersey Nets,PG,6-4,210,30,1994,9
2003-2004,Sam Cassell,West,"Dec 28, 2003",Minnesota Timberwolves,G,6-3,185,34,1993,10
2003-2004,Tracy McGrady,East,"Dec 21, 2003",Orlando Magic,GF,6-8,210,24,1997,6
2003-2004,Kevin Garnett,West,"Dec 21, 2003",Minnesota Timberwolves,PF,6-11,240,27,1995,8
2003-2004,Paul Pierce,East,"Dec 14, 2003",Boston Celtics,SF,6-7,235,26,1998,5
2003-2004,Peja Stojakovic,West,"Dec 14, 2003",Sacramento Kings,F,6-10,229,26,1996,5
2003-2004,Vince Carter,East,"Dec 7, 2003",Toronto Raptors,SF,6-6,220,27,1998,5
2003-2004,Shaquille O'Neal,West,"Dec 7, 2003",Los Angeles Lakers,C,7-1,325,31,1992,11
2003-2004,Dikembe Mutombo,East,"Nov 30, 2003",New York Knicks,C,7-2,260,37,1991,12
2003-2004,Voshon Lenard,West,"Nov 30, 2003",Denver Nuggets,SG,6-4,205,30,1994,8
2003-2004,Chauncey Billups,East,"Nov 23, 2003",Detroit Pistons,G,6-3,210,27,1997,6
2003-2004,Kevin Garnett,West,"Nov 23, 2003",Minnesota Timberwolves,PF,6-11,240,27,1995,8
2003-2004,Allen Iverson,East,"Nov 16, 2003",Philadelphia Sixers,G,6-0,165,28,1996,7
2003-2004,Quentin Richardson,West,"Nov 16, 2003",Los Angeles Clippers,GF,6-6,223,23,2000,3
2003-2004,Metta World Peace,East,"Nov 9, 2003",Indiana Pacers,SF,6-7,260,24,1999,4
2003-2004,Andrei Kirilenko,West,"Nov 9, 2003",Utah Jazz,PF,6-9,235,23,1999,2
2003-2004,Baron Davis,East,"Nov 2, 2003",New Orleans Hornets,G,6-3,215,24,1999,4
2003-2004,Rashard Lewis,West,"Nov 2, 2003",Seattle SuperSonics,F,6-10,235,24,1998,5
2002-2003,Tracy McGrady,East,"Apr 13, 2003",Orlando Magic,GF,6-8,210,23,1997,5
2002-2003,Shawn Marion,West,"Apr 13, 2003",Phoenix Suns,F,6-7,228,24,1999,3
2002-2003,Jason Kidd,East,"Apr 6, 2003",New Jersey Nets,PG,6-4,210,29,1994,8
2002-2003,Shaquille O'Neal,West,"Apr 6, 2003",Los Angeles Lakers,C,7-1,325,30,1992,10
2002-2003,Richard Jefferson,East,"Mar 30, 2003",New Jersey Nets,SF,6-7,233,22,2001,1
2002-2003,Tim Duncan,West,"Mar 30, 2003",San Antonio Spurs,FC,6-11,250,26,1997,5
2002-2003,Ben Wallace,East,"Mar 23, 2003",Detroit Pistons,FC,6-9,240,28,1996,6
2002-2003,Peja Stojakovic,West,"Mar 23, 2003",Sacramento Kings,F,6-10,229,25,1996,4
2002-2003,Allen Iverson,East,"Mar 16, 2003",Philadelphia Sixers,G,6-0,165,27,1996,6
2002-2003,Steve Francis,West,"Mar 16, 2003",Houston Rockets,G,6-3,195,26,1999,3
2002-2003,Tracy McGrady,East,"Mar 9, 2003",Orlando Magic,GF,6-8,210,23,1997,5
2002-2003,Shaquille O'Neal,West,"Mar 9, 2003",Los Angeles Lakers,C,7-1,325,30,1992,10
2002-2003,Michael Jordan,East,"Mar 2, 2003",Washington Wizards,SG,6-6,215,40,1984,14
2002-2003,Ray Allen,West,"Mar 2, 2003",Seattle SuperSonics,SG,6-5,205,27,1996,6
2002-2003,Tracy McGrady,East,"Feb 23, 2003",Orlando Magic,GF,6-8,210,23,1997,5
2002-2003,Kobe Bryant,West,"Feb 23, 2003",Los Angeles Lakers,SG,6-6,212,24,1996,6
2002-2003,Allan Houston,East,"Feb 16, 2003",New York Knicks,G,6-6,205,31,1993,9
2002-2003,Tim Duncan,West,"Feb 16, 2003",San Antonio Spurs,FC,6-11,250,26,1997,5
2002-2003,Chauncey Billups,East,"Feb 2, 2003",Detroit Pistons,G,6-3,210,26,1997,5
2002-2003,Kobe Bryant,West,"Feb 2, 2003",Los Angeles Lakers,SG,6-6,212,24,1996,6
2002-2003,Paul Pierce,East,"Jan 26, 2003",Boston Celtics,SF,6-7,235,25,1998,4
2002-2003,Tim Duncan,West,"Jan 26, 2003",San Antonio Spurs,FC,6-11,250,26,1997,5
2002-2003,Antoine Walker,East,"Jan 19, 2003",Boston Celtics,F,6-9,265,26,1996,6
2002-2003,Steve Francis,West,"Jan 19, 2003",Houston Rockets,G,6-3,195,26,1999,3
2002-2003,Jermaine O'Neal,East,"Jan 12, 2003",Indiana Pacers,FC,6-11,235,24,1996,6
2002-2003,Kobe Bryant,West,"Jan 12, 2003",Los Angeles Lakers,SG,6-6,212,24,1996,6
2002-2003,Stephon Marbury,West,"Jan 12, 2003",Phoenix Suns,G,6-2,180,26,1996,6
2002-2003,Michael Jordan,East,"Jan 5, 2003",Washington Wizards,SG,6-6,215,40,1984,14
2002-2003,Dirk Nowitzki,West,"Jan 5, 2003",Dallas Mavericks,PF,7-0,245,24,1998,4
2002-2003,Lucious Harris,East,"Dec 29, 2002",New Jersey Nets,SG,6-5,190,32,1993,9
2002-2003,Tim Duncan,West,"Dec 29, 2002",San Antonio Spurs,FC,6-11,250,26,1997,5
2002-2003,Jason Kidd,East,"Dec 22, 2002",New Jersey Nets,PG,6-4,210,29,1994,8
2002-2003,Tim Duncan,West,"Dec 22, 2002",San Antonio Spurs,FC,6-11,250,26,1997,5
2002-2003,Antoine Walker,East,"Dec 15, 2002",Boston Celtics,F,6-9,265,26,1996,6
2002-2003,Chris Webber,West,"Dec 15, 2002",Sacramento Kings,F-C,6-9,245,29,1993,9
2002-2003,Paul Pierce,East,"Dec 8, 2002",Boston Celtics,SF,6-7,235,25,1998,4
2002-2003,Kobe Bryant,West,"Dec 8, 2002",Los Angeles Lakers,SG,6-6,212,24,1996,6
2002-2003,Allen Iverson,East,"Dec 1, 2002",Philadelphia Sixers,G,6-0,165,27,1996,6
2002-2003,Stephon Marbury,West,"Dec 1, 2002",Phoenix Suns,G,6-2,180,26,1996,6
2002-2003,Allen Iverson,East,"Nov 24, 2002",Philadelphia Sixers,G,6-0,165,27,1996,6
2002-2003,Kevin Garnett,West,"Nov 24, 2002",Minnesota Timberwolves,PF,6-11,240,26,1995,7
2002-2003,Metta World Peace,East,"Nov 17, 2002",Indiana Pacers,SF,6-7,260,23,1999,3
2002-2003,Rashard Lewis,West,"Nov 17, 2002",Seattle SuperSonics,F,6-10,235,23,1998,4
2002-2003,Jerry Stackhouse,East,"Nov 10, 2002",Washington Wizards,SF,6-6,218,28,1995,7
2002-2003,Dirk Nowitzki,West,"Nov 10, 2002",Dallas Mavericks,PF,7-0,245,24,1998,4
2002-2003,Glenn Robinson,East,"Nov 3, 2002",Atlanta Hawks,SF,6-7,225,30,1994,8
2002-2003,Kobe Bryant,West,"Nov 3, 2002",Los Angeles Lakers,SG,6-6,212,24,1996,6
2001-2002,Paul Pierce,East,"Apr 7, 2002",Boston Celtics,SF,6-7,235,24,1998,3
2001-2002,Tim Duncan,West,"Apr 7, 2002",San Antonio Spurs,FC,6-11,250,25,1997,4
2001-2002,Ben Wallace,East,"Mar 31, 2002",Detroit Pistons,FC,6-9,240,27,1996,5
2001-2002,Shawn Marion,West,"Mar 31, 2002",Phoenix Suns,F,6-7,228,23,1999,2
2001-2002,Jason Kidd,East,"Mar 24, 2002",New Jersey Nets,PG,6-4,210,28,1994,7
2001-2002,Tim Duncan,West,"Mar 24, 2002",San Antonio Spurs,FC,6-11,250,25,1997,4
2001-2002,Tracy McGrady,East,"Mar 17, 2002",Orlando Magic,GF,6-8,210,22,1997,4
2001-2002,Tim Duncan,West,"Mar 17, 2002",San Antonio Spurs,FC,6-11,250,25,1997,4
2001-2002,Kurt Thomas,East,"Mar 10, 2002",New York Knicks,FC,6-9,240,29,1995,6
2001-2002,Shaquille O'Neal,West,"Mar 10, 2002",Los Angeles Lakers,C,7-1,325,29,1992,9
2001-2002,Allen Iverson,East,"Mar 3, 2002",Philadelphia Sixers,G,6-0,165,26,1996,5
2001-2002,Rasheed Wallace,West,"Mar 3, 2002",Portland Trail Blazers,FC,6-11,230,27,1995,6
2001-2002,Ben Wallace,East,"Feb 24, 2002",Detroit Pistons,FC,6-9,240,27,1996,5
2001-2002,Shaquille O'Neal,West,"Feb 24, 2002",Los Angeles Lakers,C,7-1,325,29,1992,9
2001-2002,Andre Miller,East,"Feb 17, 2002",Cleveland Cavaliers,PG,6-3,200,25,1999,2
2001-2002,Karl Malone,West,"Feb 17, 2002",Utah Jazz,PF,6-9,265,38,1985,16
2001-2002,Jason Kidd,East,"Feb 3, 2002",New Jersey Nets,PG,6-4,210,28,1994,7
2001-2002,Shaquille O'Neal,West,"Feb 3, 2002",Los Angeles Lakers,C,7-1,325,29,1992,9
2001-2002,Allen Iverson,East,"Jan 27, 2002",Philadelphia Sixers,G,6-0,165,26,1996,5
2001-2002,Dirk Nowitzki,West,"Jan 27, 2002",Dallas Mavericks,PF,7-0,245,23,1998,3
2001-2002,Allen Iverson,East,"Jan 20, 2002",Philadelphia Sixers,G,6-0,165,26,1996,5
2001-2002,Kobe Bryant,West,"Jan 20, 2002",Los Angeles Lakers,SG,6-6,212,23,1996,5
2001-2002,Ray Allen,East,"Jan 13, 2002",Milwaukee Bucks,SG,6-5,205,26,1996,5
2001-2002,Kevin Garnett,West,"Jan 13, 2002",Minnesota Timberwolves,PF,6-11,240,25,1995,6
2001-2002,Eddie Jones,East,"Jan 6, 2002",Miami Heat,G-F,6-6,200,30,1994,7
2001-2002,Chris Webber,West,"Jan 6, 2002",Sacramento Kings,F-C,6-9,245,28,1993,8
2001-2002,Jason Kidd,East,"Dec 30, 2001",New Jersey Nets,PG,6-4,210,28,1994,7
2001-2002,Tim Duncan,West,"Dec 30, 2001",San Antonio Spurs,FC,6-11,250,25,1997,4
2001-2002,Jermaine O'Neal,East,"Dec 23, 2001",Indiana Pacers,FC,6-11,235,23,1996,5
2001-2002,Gary Payton,West,"Dec 23, 2001",Seattle SuperSonics,G,6-4,180,33,1990,11
2001-2002,Richard Hamilton,East,"Dec 16, 2001",Washington Wizards,SG,6-7,193,24,1999,2
2001-2002,Steve Nash,West,"Dec 16, 2001",Dallas Mavericks,G,6-3,178,28,1996,5
2001-2002,Andre Miller,East,"Dec 9, 2001",Cleveland Cavaliers,PG,6-3,200,25,1999,2
2001-2002,Elton Brand,West,"Dec 9, 2001",Los Angeles Clippers,PF,6-9,254,22,1999,2
2001-2002,Paul Pierce,East,"Dec 2, 2001",Boston Celtics,SF,6-7,235,24,1998,3
2001-2002,Stephon Marbury,West,"Dec 2, 2001",Phoenix Suns,G,6-2,180,25,1996,5
2001-2002,Shareef Abdur-Rahim,East,"Nov 25, 2001",Atlanta Hawks,F,6-9,225,25,1996,5
2001-2002,Tim Duncan,West,"Nov 25, 2001",San Antonio Spurs,FC,6-11,250,25,1997,4
2001-2002,Allen Iverson,East,"Nov 18, 2001",Philadelphia Sixers,G,6-0,165,26,1996,5
2001-2002,Kevin Garnett,West,"Nov 18, 2001",Minnesota Timberwolves,PF,6-11,240,25,1995,6
2001-2002,Vince Carter,East,"Nov 11, 2001",Toronto Raptors,SF,6-6,220,25,1998,3
2001-2002,Tim Duncan,West,"Nov 11, 2001",San Antonio Spurs,FC,6-11,250,25,1997,4
2001-2002,Ray Allen,East,"Nov 4, 2001",Milwaukee Bucks,SG,6-5,205,26,1996,5
2001-2002,Kobe Bryant,West,"Nov 4, 2001",Los Angeles Lakers,SG,6-6,212,23,1996,5
2000-2001,Ray Allen,,"Apr 15, 2001",Milwaukee Bucks,SG,6-5,205,25,1996,4
2000-2001,Shaquille O'Neal,,"Apr 8, 2001",Los Angeles Lakers,C,7-1,325,28,1992,8
2000-2001,Jason Kidd,,"Apr 1, 2001",Phoenix Suns,PG,6-4,210,27,1994,6
2000-2001,Paul Pierce,,"Mar 25, 2001",Boston Celtics,SF,6-7,235,23,1998,2
2000-2001,Cuttino Mobley,,"Mar 18, 2001",Houston Rockets,G,6-4,190,25,1998,2
2000-2001,Derek Anderson,,"Mar 11, 2001",San Antonio Spurs,G,6-5,194,26,1997,3
2000-2001,Vince Carter,,"Mar 4, 2001",Toronto Raptors,SF,6-6,220,24,1998,2
2000-2001,Shawn Marion,,"Feb 25, 2001",Phoenix Suns,F,6-7,228,22,1999,1
2000-2001,Allen Iverson,,"Feb 18, 2001",Philadelphia Sixers,G,6-0,165,25,1996,4
2000-2001,Darrell Armstrong,,"Feb 4, 2001",Orlando Magic,PG,6-0,170,32,1991,6
2000-2001,Tim Duncan,,"Jan 28, 2001",San Antonio Spurs,FC,6-11,250,24,1997,3
2000-2001,Chris Webber,,"Jan 22, 2001",Sacramento Kings,F-C,6-9,245,28,1993,7
2000-2001,Steve Francis,,"Jan 14, 2001",Houston Rockets,G,6-3,195,24,1999,1
2000-2001,Allen Iverson,,"Jan 7, 2001",Philadelphia Sixers,G,6-0,165,25,1996,4
2000-2001,Aaron McKie,,"Dec 31, 2000",Philadelphia Sixers,G,6-5,209,28,1994,6
2000-2001,Kobe Bryant,,"Dec 24, 2000",Los Angeles Lakers,SG,6-6,212,22,1996,4
2000-2001,Glenn Robinson,,"Dec 17, 2000",Milwaukee Bucks,SF,6-7,225,28,1994,6
2000-2001,Chris Webber,,"Dec 10, 2000",Sacramento Kings,F-C,6-9,245,28,1993,7
2000-2001,Antonio McDyess,,"Dec 3, 2000",Denver Nuggets,F,6-9,245,26,1995,5
2000-2001,Baron Davis,,"Nov 26, 2000",Charlotte Hornets,G,6-3,215,21,1999,1
2000-2001,Kevin Garnett,,"Nov 19, 2000",Minnesota Timberwolves,PF,6-11,240,24,1995,5
2000-2001,Stephon Marbury,,"Nov 12, 2000",New Jersey Nets,G,6-2,180,24,1996,4
2000-2001,Karl Malone,,"Nov 6, 2000",Utah Jazz,PF,6-9,265,37,1985,15
2000-2001,John Stockton,,"Nov 6, 2000",Utah Jazz,PG,6-1,170,38,1984,16
1999-2000,Kobe Bryant,,"Apr 17, 2000",Los Angeles Lakers,SG,6-6,212,21,1996,3
1999-2000,Alonzo Mourning,,"Apr 10, 2000",Miami Heat,C,6-10,240,30,1992,7
1999-2000,Tim Duncan,,"Apr 3, 2000",San Antonio Spurs,FC,6-11,250,23,1997,2
1999-2000,Kevin Garnett,,"Mar 27, 2000",Minnesota Timberwolves,PF,6-11,240,23,1995,4
1999-2000,Jalen Rose,,"Mar 20, 2000",Indiana Pacers,G,6-8,210,27,1994,5
1999-2000,Shaquille O'Neal,,"Mar 13, 2000",Los Angeles Lakers,C,7-1,325,27,1992,7
1999-2000,Karl Malone,,"Mar 6, 2000",Utah Jazz,PF,6-9,265,36,1985,14
